uid	username	level	exp	job	attack	defense	maxHP	maxMP	HP	MP	gold	map
10001	saber	1	0	saber	10	10	1000	1000	1000	1000	100	0
10002	archer	1	0	archer	10	10	100	100	100	100	100	0
10003	rider	1	0	rider	10	10	100	100	100	100	100	0
10004	lancer	1	0	lancer	10	10	100	100	100	100	100	0
10005	caster	1	0	caster	10	10	100	100	100	100	100	0
10006	assassin	1	0	assassin	10	10	100	100	100	100	100	0
10007	berserker	1	0	berserker	10	10	100	100	100	100	100	0
10015	aaa	1	0	default	10	10	100	100	100	100	100	0
10008	ddd	1	0	default	10	10	100	100	100	100	100	0
10009	eee	1	0	default	10	10	100	100	100	100	100	0
10010	bbb	1	0	default	10	10	100	100	100	100	100	0
10011	aaa	1	0	default	10	10	100	100	100	100	100	0
10012	sda	1	0	default	10	10	100	100	100	100	100	0
10013	1321	1	0	default	10	10	100	100	100	100	100	0
10014	sfasf	1	0	default	10	10	100	100	100	100	100	0
10015	sab	1	0	default	10	10	100	100	100	100	100	0
