14:59:28 Before test:	item id: 610018, item count: 100, gold coin: 100145, 
14:59:29 After test:	item id: 610018, item count: 99, gold coin: 100157, 
14:59:29 Before test:	item id: 610018, item count: 99, gold coin: 100157, 
14:59:29 After test:	item id: 610018, item count: 98, gold coin: 100167, 
14:59:29 Before test:	item id: 610018, item count: 98, gold coin: 100167, 
14:59:29 After test:	item id: 610018, item count: 97, gold coin: 100197, 
14:59:29 Before test:	item id: 610018, item count: 97, gold coin: 100197, 
14:59:29 After test:	item id: 610018, item count: 96, gold coin: 100211, 
14:59:29 Before test:	item id: 610018, item count: 96, gold coin: 100211, 
14:59:29 After test:	item id: 610018, item count: 95, gold coin: 100220, 
14:59:29 Before test:	item id: 610018, item count: 95, gold coin: 100220, 
14:59:29 After test:	item id: 610018, item count: 94, gold coin: 100232, 
14:59:29 Before test:	item id: 610018, item count: 94, gold coin: 100232, 
14:59:29 After test:	item id: 610018, item count: 93, gold coin: 100237, 
14:59:29 Before test:	item id: 610018, item count: 93, gold coin: 100237, 
14:59:29 After test:	item id: 610018, item count: 92, gold coin: 100252, 
14:59:29 Before test:	item id: 610018, item count: 92, gold coin: 100252, 
14:59:29 After test:	item id: 610018, item count: 91, gold coin: 100264, 
14:59:29 Before test:	item id: 610018, item count: 91, gold coin: 100264, 
14:59:29 After test:	item id: 610018, item count: 90, gold coin: 100271, 
14:59:29 Before test:	item id: 610018, item count: 90, gold coin: 100271, 
14:59:30 After test:	item id: 610018, item count: 89, gold coin: 100278, 
14:59:30 Before test:	item id: 610018, item count: 89, gold coin: 100278, 
14:59:30 After test:	item id: 610018, item count: 88, gold coin: 100308, 
14:59:30 Before test:	item id: 610018, item count: 88, gold coin: 100308, 
14:59:30 After test:	item id: 610018, item count: 87, gold coin: 100314, 
14:59:30 Before test:	item id: 610018, item count: 87, gold coin: 100314, 
14:59:30 After test:	item id: 610018, item count: 86, gold coin: 100324, 
14:59:30 Before test:	item id: 610018, item count: 86, gold coin: 100324, 
14:59:30 After test:	item id: 610018, item count: 85, gold coin: 100329, 
14:59:30 Before test:	item id: 610018, item count: 85, gold coin: 100329, 
14:59:30 After test:	item id: 610018, item count: 84, gold coin: 100341, 
14:59:30 Before test:	item id: 610018, item count: 84, gold coin: 100341, 
14:59:30 After test:	item id: 610018, item count: 83, gold coin: 100355, 
14:59:30 Before test:	item id: 610018, item count: 83, gold coin: 100355, 
14:59:30 After test:	item id: 610018, item count: 82, gold coin: 100361, 
14:59:30 Before test:	item id: 610018, item count: 82, gold coin: 100361, 
14:59:30 After test:	item id: 610018, item count: 81, gold coin: 100376, 
14:59:30 Before test:	item id: 610018, item count: 81, gold coin: 100376, 
14:59:30 After test:	item id: 610018, item count: 80, gold coin: 100385, 
14:59:30 Before test:	item id: 610018, item count: 80, gold coin: 100385, 
14:59:31 After test:	item id: 610018, item count: 79, gold coin: 100392, 
14:59:31 Before test:	item id: 610018, item count: 79, gold coin: 100392, 
14:59:31 After test:	item id: 610018, item count: 78, gold coin: 100404, 
14:59:31 Before test:	item id: 610018, item count: 78, gold coin: 100404, 
14:59:31 After test:	item id: 610018, item count: 77, gold coin: 100413, 
14:59:31 Before test:	item id: 610018, item count: 77, gold coin: 100413, 
14:59:31 After test:	item id: 610018, item count: 76, gold coin: 100426, 
14:59:31 Before test:	item id: 610018, item count: 76, gold coin: 100426, 
14:59:31 After test:	item id: 610018, item count: 75, gold coin: 100432, 
14:59:31 Before test:	item id: 610018, item count: 75, gold coin: 100432, 
14:59:31 After test:	item id: 610018, item count: 74, gold coin: 100444, 
14:59:31 Before test:	item id: 610018, item count: 74, gold coin: 100444, 
14:59:31 After test:	item id: 610018, item count: 73, gold coin: 100451, 
14:59:31 Before test:	item id: 610018, item count: 73, gold coin: 100451, 
14:59:31 After test:	item id: 610018, item count: 72, gold coin: 100459, 
14:59:31 Before test:	item id: 610018, item count: 72, gold coin: 100459, 
14:59:31 After test:	item id: 610018, item count: 71, gold coin: 100468, 
14:59:31 Before test:	item id: 610018, item count: 71, gold coin: 100468, 
14:59:32 After test:	item id: 610018, item count: 70, gold coin: 100482, 
14:59:32 Before test:	item id: 610018, item count: 70, gold coin: 100482, 
14:59:32 After test:	item id: 610018, item count: 69, gold coin: 100494, 
14:59:32 Before test:	item id: 610018, item count: 69, gold coin: 100494, 
14:59:32 After test:	item id: 610018, item count: 68, gold coin: 100504, 
14:59:32 Before test:	item id: 610018, item count: 68, gold coin: 100504, 
14:59:32 After test:	item id: 610018, item count: 67, gold coin: 100513, 
14:59:32 Before test:	item id: 610018, item count: 67, gold coin: 100513, 
14:59:32 After test:	item id: 610018, item count: 66, gold coin: 100524, 
14:59:32 Before test:	item id: 610018, item count: 66, gold coin: 100524, 
14:59:32 After test:	item id: 610018, item count: 65, gold coin: 100537, 
14:59:32 Before test:	item id: 610018, item count: 65, gold coin: 100537, 
14:59:32 After test:	item id: 610018, item count: 64, gold coin: 100547, 
14:59:32 Before test:	item id: 610018, item count: 64, gold coin: 100547, 
14:59:32 After test:	item id: 610018, item count: 63, gold coin: 100554, 
14:59:32 Before test:	item id: 610018, item count: 63, gold coin: 100554, 
14:59:32 After test:	item id: 610018, item count: 62, gold coin: 100562, 
14:59:32 Before test:	item id: 610018, item count: 62, gold coin: 100562, 
14:59:33 After test:	item id: 610018, item count: 61, gold coin: 100577, 
14:59:33 Before test:	item id: 610018, item count: 61, gold coin: 100577, 
